ID,cell_type,fraction
GSM4331602,T.cells.regulatory..Tregs.,0
GSM4331603,T.cells.regulatory..Tregs.,0.040318372
GSM2198196,T.cells.gamma.delta,0
GSM2198197,T.cells.gamma.delta,0
GSM2198198,T.cells.gamma.delta,0
GSM2198199,T.cells.gamma.delta,0
GSM2198200,T.cells.gamma.delta,0.008022854
GSM2198201,T.cells.gamma.delta,0
GSM4331585,T.cells.gamma.delta,0
GSM4331586,T.cells.gamma.delta,0
GSM4331587,T.cells.gamma.delta,0
GSM4331588,T.cells.gamma.delta,0
GSM4331589,T.cells.gamma.delta,0
GSM4331590,T.cells.gamma.delta,0
GSM4331591,T.cells.gamma.delta,0
GSM4331592,T.cells.gamma.delta,0
GSM4331593,T.cells.gamma.delta,0
GSM4331594,T.cells.gamma.delta,0
GSM4331595,T.cells.gamma.delta,0
GSM4331596,T.cells.gamma.delta,0
GSM4331597,T.cells.gamma.delta,0
GSM4331598,T.cells.gamma.delta,0
GSM4331599,T.cells.gamma.delta,0
GSM4331600,T.cells.gamma.delta,0
GSM4331601,T.cells.gamma.delta,0
GSM4331602,T.cells.gamma.delta,0
GSM4331603,T.cells.gamma.delta,0
GSM2198196,NK.cells.resting,0.130785626
GSM2198197,NK.cells.resting,0
GSM2198198,NK.cells.resting,0
GSM2198199,NK.cells.resting,0
GSM2198200,NK.cells.resting,0
GSM2198201,NK.cells.resting,0
GSM4331585,NK.cells.resting,0
GSM4331586,NK.cells.resting,0
GSM4331587,NK.cells.resting,0
GSM4331588,NK.cells.resting,0.05627818
GSM4331589,NK.cells.resting,0
GSM4331590,NK.cells.resting,0
GSM4331591,NK.cells.resting,0
GSM4331592,NK.cells.resting,0.020716304
GSM4331593,NK.cells.resting,0.020569662
GSM4331594,NK.cells.resting,0
GSM4331595,NK.cells.resting,0.048844405
GSM4331596,NK.cells.resting,0
GSM4331597,NK.cells.resting,0
GSM4331598,NK.cells.resting,0
GSM4331599,NK.cells.resting,0
GSM4331600,NK.cells.resting,0.011762587
GSM4331601,NK.cells.resting,0.052358591
GSM4331602,NK.cells.resting,0
GSM4331603,NK.cells.resting,0
GSM2198196,NK.cells.activated,0
GSM2198197,NK.cells.activated,0.071192333
GSM2198198,NK.cells.activated,0.083465624
GSM2198199,NK.cells.activated,0.055432301
GSM2198200,NK.cells.activated,0.061255074
GSM2198201,NK.cells.activated,0.023864649
GSM4331585,NK.cells.activated,0.064094954
GSM4331586,NK.cells.activated,0.104511411
GSM4331587,NK.cells.activated,0.062723704
GSM4331588,NK.cells.activated,0.025465827
GSM4331589,NK.cells.activated,0.093174622
GSM4331590,NK.cells.activated,0.099366757
GSM4331591,NK.cells.activated,0.078274662
GSM4331592,NK.cells.activated,0.024241449
GSM4331593,NK.cells.activated,0.036896272
GSM4331594,NK.cells.activated,0.046560289
GSM4331595,NK.cells.activated,0.00086341
GSM4331596,NK.cells.activated,0.107048956
GSM4331597,NK.cells.activated,0.085692759
GSM4331598,NK.cells.activated,0.110278331
GSM4331599,NK.cells.activated,0.113797962
GSM4331600,NK.cells.activated,0.033402129
GSM4331601,NK.cells.activated,0
GSM4331602,NK.cells.activated,0.069522686
GSM4331603,NK.cells.activated,0.087025692
GSM2198196,Monocytes,0.034666316
GSM2198197,Monocytes,0.02446649
GSM2198198,Monocytes,0.030892155
GSM2198199,Monocytes,0.002196255
GSM2198200,Monocytes,0
GSM2198201,Monocytes,0.009415001
GSM4331585,Monocytes,0
GSM4331586,Monocytes,0.024929872
GSM4331587,Monocytes,0
GSM4331588,Monocytes,0.010523023
GSM4331589,Monocytes,0
GSM4331590,Monocytes,0.015415552
GSM4331591,Monocytes,0.026970847
GSM4331592,Monocytes,0
GSM4331593,Monocytes,0.021893268
GSM4331594,Monocytes,0.011389552
GSM4331595,Monocytes,0.0165655
GSM4331596,Monocytes,0.020725865
GSM4331597,Monocytes,0.014324893
GSM4331598,Monocytes,0.014569634
GSM4331599,Monocytes,0.016762021
GSM4331600,Monocytes,0.00282553
GSM4331601,Monocytes,0.025188465
GSM4331602,Monocytes,0.025955159
GSM4331603,Monocytes,0.002109619
GSM2198196,Macrophages.M0,0.111186042
GSM2198197,Macrophages.M0,0
GSM2198198,Macrophages.M0,0.017387784
GSM2198199,Macrophages.M0,0.077013553
GSM2198200,Macrophages.M0,0.010575985
GSM2198201,Macrophages.M0,0
GSM4331585,Macrophages.M0,0.030470899
GSM4331586,Macrophages.M0,0
GSM4331587,Macrophages.M0,0.011206939
GSM4331588,Macrophages.M0,0.024391013
GSM4331589,Macrophages.M0,0.031393043
GSM4331590,Macrophages.M0,0.10025037
GSM4331591,Macrophages.M0,0.105985542
GSM4331592,Macrophages.M0,0.059950323
GSM4331593,Macrophages.M0,0.019357406
GSM4331594,Macrophages.M0,0.008589342
GSM4331595,Macrophages.M0,0.010044832
GSM4331596,Macrophages.M0,0.02739119
GSM4331597,Macrophages.M0,0.054695697
GSM4331598,Macrophages.M0,0
GSM4331599,Macrophages.M0,0
GSM4331600,Macrophages.M0,0.018789559
GSM4331601,Macrophages.M0,0.00786549
GSM4331602,Macrophages.M0,0.054556281
GSM4331603,Macrophages.M0,0.015926295
GSM2198196,Macrophages.M1,0
GSM2198197,Macrophages.M1,0
GSM2198198,Macrophages.M1,0
GSM2198199,Macrophages.M1,0.009336963
GSM2198200,Macrophages.M1,0.023717417
GSM2198201,Macrophages.M1,0.002594341
GSM4331585,Macrophages.M1,0.023948163
GSM4331586,Macrophages.M1,0.006534694
GSM4331587,Macrophages.M1,0.103785324
GSM4331588,Macrophages.M1,0.015609023
GSM4331589,Macrophages.M1,0.012138233
GSM4331590,Macrophages.M1,0.004929694
GSM4331591,Macrophages.M1,0.002504745
GSM4331592,Macrophages.M1,0.023840265
GSM4331593,Macrophages.M1,0.006297271
GSM4331594,Macrophages.M1,0.014924096
GSM4331595,Macrophages.M1,0.011031222
GSM4331596,Macrophages.M1,0.02411797
GSM4331597,Macrophages.M1,0
GSM4331598,Macrophages.M1,0.038086941
GSM4331599,Macrophages.M1,0.070052359
GSM4331600,Macrophages.M1,0.01829974
GSM4331601,Macrophages.M1,0.01427561
GSM4331602,Macrophages.M1,0.00085766
GSM4331603,Macrophages.M1,0
GSM2198196,Macrophages.M2,0
GSM2198197,Macrophages.M2,0
GSM2198198,Macrophages.M2,0.028642087
GSM2198199,Macrophages.M2,0.039925719
GSM2198200,Macrophages.M2,0.092125084
GSM2198201,Macrophages.M2,0.037013539
GSM4331585,Macrophages.M2,0.01523997
GSM4331586,Macrophages.M2,0.042894467
GSM4331587,Macrophages.M2,0.021023673
GSM4331588,Macrophages.M2,0.011195535
GSM4331589,Macrophages.M2,0.033823223
GSM4331590,Macrophages.M2,0.011899592
GSM4331591,Macrophages.M2,0.048972242
GSM4331592,Macrophages.M2,0.001394079
GSM4331593,Macrophages.M2,0.004239937
GSM4331594,Macrophages.M2,0.011235284
GSM4331595,Macrophages.M2,0.022289034
GSM4331596,Macrophages.M2,0
GSM4331597,Macrophages.M2,0.027194912
