"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CHTF8",0.0405264795384674,8.36744396864,0.656063193188542,0.51769138814933,0.839820577745378,-6.10300506230101
"CA7",0.0405042232820554,4.01386934756,0.515247814434322,0.610841699821126,0.875891863542979,-6.18483276240055
"PHKG1",-0.0404926372948697,5.51312226456,-0.411436052607769,0.684208811290751,0.905476769160256,-6.23281025567421
"C2orf51",0.0404907183076997,6.06089311748,0.295848807513967,0.769754230410744,0.933956668263369,-6.2737292851341
"ALPI",-0.0404823674102532,5.11863074672,-0.597103719793692,0.5557314868677,0.853766619220933,-6.13959369296904
"NR1I3",0.0404769804166691,3.7161993456,0.602984580838958,0.551873103490776,0.852234178104629,-6.13609408443321
"DNAH1",-0.040471431717946,5.42704668316,-0.547051236583809,0.589124888448939,0.869186853803014,-6.16802762425935
"IVNS1ABP",-0.0404642201794845,7.32335203316,-0.174943475079213,0.862513099642396,0.96505859451489,-6.30229968926952
"TMEM106A",-0.0404619173974323,5.45284396388,-0.22425696671676,0.8243540655784,0.950712559670024,-6.29241127790731
"NHP2L1",-0.0404534917692221,9.34734291472,-0.444553894089916,0.660412505320089,0.895973935992998,-6.21865282404421
"GPX2",0.0404500871025686,6.55094095604,0.5914275511139,0.559468768867004,0.854498190961005,-6.14293989040731
"MID2",-0.040449381205125,6.31532023856,-0.375627641608807,0.710317020717261,0.913798256111393,-6.24690135683664
"ANKRD53",-0.0404321164102539,5.2646637072,-0.493961266802764,0.62558433087132,0.881497058957328,-6.19553047870967
"VSTM2B",0.0404175356666681,2.03234815212,0.737085585938422,0.467834418359527,0.817451720479926,-6.04731676186828
"FBXL15",-0.0404151905320447,7.94774270616,-0.559552864394659,0.580692712176077,0.863787834492483,-6.16115275858996
"EML5",-0.0403731754102559,3.14177201388,-0.389284242769295,0.700315177258419,0.910983561376746,-6.24167667556965
"ASCL1",-0.0403719189743574,3.3221033172,-0.477825115454343,0.636867089665513,0.884883835378398,-6.20334497012787
"ZFYVE26",-0.0403712250641011,4.4997571522,-0.470034127550405,0.64234707091644,0.888303366042602,-6.20702683896439
"POTEM",-0.040359228564097,5.69169199952,-0.541404373527934,0.592953165872775,0.870626333149825,-6.17108323378168
"FGD5",-0.0403588471794825,4.8588625572,-0.381454747970602,0.706042756612214,0.912710507782231,-6.24469459802656
"SPACA3",0.0403581231794918,5.24483948528,0.500219055539917,0.621233437017293,0.879568635741482,-6.19243145944702
"TAPBP",0.0403452599743659,8.24622954748,0.422457268947873,0.676251179532957,0.902299203607992,-6.22821867868892
"GCGR",0.0403351853333369,5.23977294396,0.32607388378879,0.74704362141023,0.927262796604702,-6.26430869116243
"IQCF2",0.0403249620000041,4.31391876176,0.534983898741992,0.59732054040111,0.871657523673649,-6.17451984225263
"C20orf195",-0.0403197399743571,3.13718642712,-0.53371285274324,0.598186974652456,0.871657523673649,-6.17519543031799
"SCARA3",-0.0403177673846091,7.35304925704,-0.207270623660503,0.837453641327343,0.955086243566732,-6.29609230675753
"NOX1",0.0402960071538474,3.38824300228,0.582641607859103,0.565278958412784,0.85746487958437,-6.14805808130756
"OR2H1",-0.0402895329358888,6.27929830996,-0.375189583363994,0.71063873541946,0.913798256111393,-6.24706589495186
"NPTN",0.0402843054615492,10.16583392816,0.408106840068249,0.686619978958788,0.906324082216412,-6.23417370708908
"IL4",0.0402840123589754,2.69876786324,0.4489648388545,0.657269695610539,0.894688184124501,-6.2166858173738
"OR10H2",0.0402807353589782,9.02026471028,0.548317099746833,0.588268360877134,0.868635711815753,-6.16733839926286
"SELPLG",0.0402634377564164,5.8848429732,0.321720965889648,0.750300566959833,0.928390730623916,-6.26572139723305
"GPER",-0.0402546886794859,6.93910147728,-0.396611138621366,0.694971574835931,0.910102353894944,-6.23879763238386
"EMCN",0.0402387781794937,5.18237387468,0.245469411354242,0.808068360996805,0.945942381898605,-6.28740927489966
"PPIG",0.0402323288846205,6.64401962148,0.596045694908743,0.556427127157529,0.853855982316959,-6.14021977115115
"OMA1",0.0402196993846191,7.04676252532,0.269501212856279,0.789724442148425,0.940155070385944,-6.28119943843372
"DDR1",-0.0402176304102522,7.42527145048,-0.133955214485617,0.894495244680662,0.973483298766103,-6.30866369726429
"ERO1LB",0.0402142926666689,3.62912255048,0.372227319793554,0.712815685634979,0.914426372656314,-6.24817356239505
"TOB2",-0.040201087666663,5.88416308792,-0.394405082471829,0.696578806787617,0.910503071080352,-6.23967006145728
"NUPL1",-0.0401711062628172,5.41188825284,-0.4488623909753,0.657342617453006,0.894688184124501,-6.21673171947307
"ZNF417",-0.0401569512564075,4.10307380032,-0.681217448347265,0.501906726886948,0.832167539826291,-6.08638309139586
"TUB",0.0401522070064146,5.75025936144,0.259538017962472,0.797315217982793,0.941791892680309,-6.28384388790121
"TMPPE",0.0401506567948751,5.0719128768,0.53936276885653,0.594340236095374,0.871335371362616,-6.1721803600949
"ZNF181",-0.0401363391794849,5.18048610604,-0.533786118913655,0.598137014859382,0.871657523673649,-6.17515653042951
"PAK7",0.0401294817435915,2.14391495816,0.640154355602104,0.527813360297928,0.842151565189493,-6.11320591182887
"KDM4DL",0.0401280883076947,3.22235633008,0.469163174857204,0.642960968973917,0.888445318732707,-6.20743474035786
"OPA1",0.0401183596923147,6.71636155996,0.645533001097555,0.524379274172521,0.841249868032499,-6.1097841682842
"IDS",-0.0401053861858927,6.5797841514,-0.537761195586646,0.595429447560043,0.871497735412427,-6.17303818707062
"CUZD1",-0.040097101948716,3.40069944068,-0.559858717162726,0.5804871713319,0.863658772731724,-6.160982666625
"GAS8",0.0400786308461565,3.49879959396,0.355344587530929,0.725269603632426,0.91975456252259,-6.25432064226479
"FARSA",0.04007273082052,7.25663873464,0.439372042102323,0.664112712561276,0.89757146270577,-6.22093919214608
"BIRC6",-0.0400565356153804,4.39374413252,-0.366700544279672,0.71688390535591,0.916793096658683,-6.2502169558298
"CLDN18",0.0400511938269252,2.44765612596,0.612702260240507,0.545528124302247,0.848777219115587,-6.13023829824451
"NPC2",0.0400443503461609,9.25383300432,0.355372364276939,0.725249048978489,0.91975456252259,-6.25431076046516
"CYP1A2",0.0400321471794935,5.8085847268,0.515996199346239,0.610326364899837,0.87568834060286,-6.18444861626777
"PDLIM4",-0.0400286375640961,6.6421387482,-0.23321729609422,0.817464592967323,0.948466888369828,-6.2903532530299
"THOC1",0.0400285670000038,6.19666726716,0.357018575582071,0.72403123604808,0.919564872566418,-6.25372374237505
"BAAT",0.0400072863397458,2.36795719152,0.823959131294032,0.417643871651188,0.793516318535671,-5.9807412623332
"MVP",-0.0400044155897401,8.88373355244,-0.254812271396903,0.800922846415147,0.943723538910504,-6.28506356830476
"CPSF7",0.0399920197435941,5.5885370464,0.564956217019774,0.577066851151769,0.86209936756352,-6.15813449048382
"RNPEPL1",-0.0399916919999939,7.35796715784,-0.470378696957389,0.64210426983861,0.888236241932581,-6.20686525843018
"CASC1",0.0399875204871809,2.11475738868,0.798526970723247,0.43197870127021,0.802232378293405,-6.00096032724985
"ENAH",-0.0399623605512778,6.00421706732,-0.219510054079264,0.828009760485731,0.952422770117069,-6.29346902285424
"TBRG4",0.0399533460000026,6.68972829608,0.310190206722113,0.758950811307319,0.931032395212279,-6.2693726064384
"DUOX1",0.0399473684359002,6.24008779608,0.228445435787383,0.821131787609329,0.949428853527391,-6.2914592547445
"PPP1R7",-0.0399445934102474,8.55213976324,-0.432984427675678,0.668685883528858,0.899535280988487,-6.22372125532557
"VPS53",0.039912207525644,5.43071863692,0.487147598882931,0.630337480854362,0.88330243832877,-6.19886128477264
"OR8A1",0.0399120846153878,3.417156091,0.308762913380897,0.760023804569112,0.931790571651686,-6.26981536368966
"KCNJ5",0.0398759354359006,3.78035148824,0.23090116005154,0.819244029888861,0.948763061375563,-6.29089292047447
"SDCBP2",0.0398645886987214,5.90138839996,0.248515002744839,0.805737163301923,0.945103733065306,-6.28665419647524
"FAM175B",0.0398606738461575,5.8963784696,0.735002163236748,0.469080210109752,0.817485023002909,-6.04882656518239
"GPR150",0.0398589820512907,11.719369196,0.814489683373579,0.422946297771012,0.797359315803834,-5.98833984243904
"DLG4",-0.0398568967179393,8.27758528496,-0.444271167900827,0.660614165976105,0.896027587145079,-6.21877825064176
