"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"CLU",-0.823806060230768,7.83227093432,-3.21691542110593,0.00351755057250165,0.0457560253607895,-2.12619740858939,"down-regulated"
"ACVRL1",0.823678612102564,4.80600193104,6.16994119025281,1.7530010089418e-06,0.000275575488395032,5.1556737686738,"up-regulated"
"HOXD10",0.822985830371795,5.15149769004,3.16494842363384,0.00399734396473307,0.0488854535981923,-2.24564831976471,"up-regulated"
"RNF144B",-0.822681055891023,6.26249458648,-4.04632478699874,0.000428769038787971,0.0113141430110176,-0.135303494942828,"down-regulated"
"NR2F1",0.822347811653846,5.57912553644,4.76844275950613,6.52952453508308e-05,0.00310246894067276,1.66877132175867,"up-regulated"
"GALNT7",-0.822266073448716,6.14863574436,-4.58087929091479,0.000106597214791743,0.00442468270499322,1.19765243313435,"down-regulated"
"SPON2",0.819370342993588,6.75772796456,3.468280453174,0.0018800193445572,0.0304152392903336,-1.53796720986442,"up-regulated"
"ZDHHC2",-0.819166362173078,6.22467315908,-7.07779227284991,1.84759577238808e-07,4.87534334438905e-05,7.32017686744264,"down-regulated"
"RASSF7",-0.818229216435897,5.34542582288,-4.81966869263354,5.7115393709964e-05,0.00288881893193701,1.79753433525106,"down-regulated"
"APLP2",0.818110404102564,11.4274017532,4.08286331578117,0.000390049637217723,0.0106922399120237,-0.0449609003300644,"up-regulated"
"FBLN5",0.81478433229487,10.04175098604,3.36885020958794,0.00241229770672155,0.0355753724672897,-1.77259578226875,"up-regulated"
"HOXD1",0.814662325807693,3.41908075508,5.5947165054469,7.6190119024676e-06,0.000740698282123446,3.73884630639436,"up-regulated"
"DUSP5",-0.81444886048718,6.01612802712,-4.09607471299037,0.000376918147783457,0.0104891138790888,-0.0122589160232183,"down-regulated"
"RAB11FIP2",0.813007892628206,5.645617825,5.29096925901501,1.6722028925026e-05,0.00124171568555331,2.98079135365541,"up-regulated"
"PDCD4",-0.812947726474358,8.0498534786,-4.02091202318407,0.000457914056978664,0.0118874656548246,-0.198046658472395,"down-regulated"
"PDIA5",0.81146584153846,8.3000944724,4.90950929197996,4.5169440015309e-05,0.00245392946730228,2.02337482497838,"up-regulated"
"MID1",-0.811377835499999,5.55704171096,-3.52219714725101,0.00164109675158111,0.0278571477778276,-1.40976919849692,"down-regulated"
"MMP14",0.809275839256406,9.68817631992,3.31550269285657,0.00275539293438667,0.0388145294484575,-1.89746219138967,"up-regulated"
