,GSM4331587,GSM4331588,GSM4331589,GSM4331592,GSM4331593,GSM4331594,GSM4331595,GSM4331596,GSM4331597,GSM4331599,GSM4331600,GSM4331601,GSM4331602,GSM2198196,GSM2198197,GSM2198198,GSM2198200
ATP2B1,8.376251659,6.517486659,6.387449159,7.784781659,7.871364159,6.982169159,6.756726659,7.313044159,6.955461659,8.043249159,6.801174159,7.309059159,7.031639159,7.073057341,7.608256641,6.721480641,7.670315041
PSG11,3.938574989,4.190084989,4.292454989,3.957954989,3.842344989,4.039524989,4.020954989,3.965864989,3.907444989,3.965864989,4.066184989,3.963234989,3.994434989,3.161045011,3.581876611,4.047639711,3.749454311
VTI1A,6.057364817,5.949074817,5.783001484,5.938651484,5.837154817,6.08416815,5.954631484,6.025601484,6.013484817,5.785194817,5.995381484,5.927924817,5.996221484,6.15132805,6.36409525,6.03397985,6.02674155
ACTR5,5.211657125,5.519177125,5.614227125,5.626597125,5.343987125,5.504957125,5.597077125,4.697457125,5.140367125,4.593687125,5.345267125,5.386677125,5.533177125,5.530727475,5.271278475,5.590611575,5.089903475
C4orf49,6.34316611,5.83916611,6.60857611,6.98768611,6.73376611,6.67977611,6.81490611,8.83194611,8.39516611,8.65337611,6.77239611,6.71344611,6.71783611,7.13877789,6.91091989,6.44928289,7.55438939
SLC9A3R1,7.045867095,7.212862095,7.293952095,6.720507095,7.072322095,6.603732095,6.560227095,6.664807095,6.738562095,6.614102095,6.584512095,6.580012095,6.591902095,8.076875905,7.020314905,7.674850405,6.500431505
C9orf30,7.145576445,7.517366445,7.635716445,7.107306445,7.027726445,7.015416445,6.860746445,7.070596445,6.859716445,7.025626445,7.016036445,7.062816445,7.027926445,6.985504055,6.551276805,6.179389755,7.812173655
SEMA3B,6.804292706,6.873462706,6.748912706,6.673926039,6.576982706,8.569592706,8.976039373,8.551886039,8.673669373,8.793842706,8.855419373,9.012546039,8.510479373,7.162790294,6.874558294,8.117887294,7.634603294
EME1,5.011449568,4.965999568,5.076459568,5.431999568,5.332329568,5.221489568,5.152759568,5.134589568,5.192869568,5.043489568,5.258819568,5.289379568,5.424339568,4.651611932,4.891150432,5.035225732,5.547361432
FPR3,4.509403161,4.439998161,4.489523161,4.307088161,4.204278161,4.413418161,4.307088161,4.377443161,4.343673161,4.516238161,4.629008161,4.513323161,4.517423161,2.466807639,3.297185839,4.082688839,6.863621839
SHPK,7.192522114,7.200407114,7.437262114,7.245402114,7.224152114,7.037132114,7.083442114,7.284417114,7.045237114,7.441162114,7.092307114,7.196672114,7.255407114,7.508733886,7.161510886,7.333420886,7.135347886
MEGF6,8.735007282,6.977227282,7.907707282,8.176182282,8.332952282,5.695997282,6.117892282,7.586897282,8.369347282,8.305062282,6.048562282,5.877332282,6.003657282,7.256786718,7.732819718,7.282925318,8.371478718
RAB28,6.598765163,6.909055163,6.654705163,6.530118496,6.729695163,6.544328496,6.597548496,6.079328496,6.38556183,6.359568496,6.651038496,6.70933183,6.602658496,6.59850192,6.70297367,6.39550642,6.88330852
DHX33,5.352944683,5.320854683,5.484942183,5.548744683,5.563859683,5.703997183,5.559927183,5.449344683,5.351424683,5.229339683,5.610612183,5.554857183,5.518462183,5.758746617,5.384605917,5.664536317,5.386001617
CBX8,4.3043935,4.5171535,4.5142235,4.5470035,4.5892435,4.5171535,4.3511635,4.3673635,4.4529535,4.4418435,4.5643535,4.3900035,4.5111235,4.6078269,4.5377681,3.960752,4.4379503
PACS2,4.356092393,5.040617393,4.901922393,4.320462393,4.191012393,4.396962393,4.436122393,4.297837393,4.275732393,3.989697393,4.316787393,4.430282393,4.275052393,3.987315007,3.912151107,4.818170807,4.499812207
ABCD1,5.859899421,5.376229421,5.709799421,5.472989421,5.704169421,5.283219421,5.638399421,5.427439421,5.757389421,5.644299421,5.124459421,5.226119421,5.425079421,5.225738579,4.880105279,6.054880879,5.851270579
DNAI1,4.394035346,4.331528679,4.196335346,4.195388679,4.210535346,4.328408679,4.319005346,4.155562013,4.253125346,4.304052013,4.189645346,4.497952013,4.249352013,4.102563254,4.882110954,4.136995254,3.862849654
ING1,6.613708296,6.435676296,6.463242296,6.258466296,6.255162296,6.385618296,6.250520296,6.234796296,6.163614296,6.473198296,6.358772296,6.386360296,6.404422296,5.888242704,6.089139004,6.529693104,6.380329104
CYP4F2,4.917924733,4.952702233,4.807747233,4.864269733,4.723627233,4.963577233,4.926612233,4.946452233,4.864244733,4.859312233,4.836812233,4.888079733,4.920794733,6.714586767,6.627056767,6.366112767,3.396737767
MSMB,3.935538082,3.753461415,3.765311415,3.736191415,3.743074749,3.838814749,3.921098082,3.790391415,3.638174749,3.772658082,4.011334749,3.797881415,3.841354749,3.280339518,5.481508518,5.510474518,0.969947118
ESCO2,3.419721209,3.352001209,3.620601209,3.813731209,3.858791209,3.960651209,3.066781209,3.365421209,3.064886209,3.926301209,3.608731209,3.819161209,3.921391209,3.940661241,3.160037841,3.496644041,3.737202841
SLC14A1,3.545973733,3.335430399,3.344137066,3.441967066,3.411897066,7.154187066,6.623590399,5.969630399,4.817003733,6.827943733,6.788473733,6.794513733,7.025727066,7.341376417,5.898073917,8.084723967,3.967568167
FAM171A2,6.466723031,6.686288031,6.618938031,6.333993031,6.457338031,6.375428031,6.454143031,6.074138031,6.571033031,6.457063031,6.430668031,6.378998031,6.418343031,5.953824369,6.365948469,6.151474969,6.385988969
SRGAP1,6.927848496,6.491318496,7.183888496,6.802253496,6.617923496,6.722638496,6.615408496,6.719728496,6.735673496,6.760578496,6.573208496,6.726423496,6.562408496,6.788389504,6.383144504,6.667943504,7.089197504
MAN2B2,6.808555862,6.435525862,6.583259196,6.847572529,6.802959196,6.709515862,6.860262529,6.675372529,6.888829196,6.485505862,6.786725862,6.811615862,6.681312529,6.205092138,6.314213538,6.638431138,7.222177138
SNX21,6.383421794,6.624981794,6.689599294,6.253214294,6.289594294,6.522574294,6.684589294,6.984116794,6.819321794,7.155056794,6.635651794,6.790261794,6.593664294,6.434108873,7.080619373,6.564161539,6.443895373
LRRC46,5.305441431,5.384161431,5.326421431,5.171451431,5.305441431,5.265301431,5.256971431,4.964621431,5.161111431,5.344881431,5.282381431,5.121551431,5.415411431,5.530178569,5.440211569,5.536580569,4.894500269
ODZ3,7.152290446,4.835377113,5.646107113,8.418357113,8.618103779,6.286317113,6.318167113,5.997710446,5.624777113,6.117160446,6.356033779,6.297777113,6.254607113,5.706741554,5.844062054,5.655764554,7.156576854
DNMT3B,3.050762118,3.089063936,3.082393936,3.092636663,3.033912118,3.274227573,3.197353027,2.958278482,3.062622118,2.973258482,3.117065754,3.161646663,3.091097573,2.960523559,3.260031609,3.257477959,3.083271159
STX11,5.71575684,5.65880684,5.42720184,5.26258184,5.26430684,5.32512684,5.32638434,5.62549184,5.38660184,7.44365184,5.32068184,5.34079184,5.27357684,4.90055366,5.69586066,5.79476166,5.81608166
SPINK5,4.700147781,4.560322781,4.425187781,4.607412781,4.525817781,4.687187781,4.715507781,4.565422781,4.620842781,4.531592781,4.523352781,4.604127781,4.543887781,5.938679519,7.418517452,5.773248952,0.927852719
MYEF2,4.257264691,3.744591358,3.881496358,4.116851358,4.103508025,5.167346358,4.661188025,5.351428025,5.483804691,5.019406358,5.017164691,5.037751358,5.093778025,6.164503309,4.897661809,6.008622809,4.898379309
MS4A6E,2.43243636,2.30615636,2.54471636,2.45136636,2.33240636,2.25106636,2.52325636,2.33689636,2.49521636,2.27593636,2.40449636,2.45242636,2.34071636,2.29868554,2.36993694,2.58326924,2.35264064
C4orf48,8.421978341,8.313728341,7.819238341,8.211468341,8.187418341,8.525058341,8.442918341,8.526438341,8.389868341,8.641208341,8.381868341,8.496608341,8.505038341,7.987104959,8.425874659,8.274090659,8.378758659
RALGPS2,5.090787197,5.029857197,5.140867197,5.825532197,5.807342197,6.286872197,5.838882197,6.199787197,6.293942197,6.685937197,6.300527197,6.200122197,6.357672197,5.493476953,6.334856953,5.340665003,5.565449553
CDKL2,2.6008675,2.7582975,2.332384167,2.403240834,2.4784575,2.417980834,2.482560834,2.595824167,2.3897975,2.329880834,2.3359375,2.269830834,2.281274167,2.399634066,2.473283966,2.477713266,2.403600966
PRAC,3.576833357,3.641083357,3.558173357,3.505903357,3.398163357,3.586693357,3.462963357,3.416293357,3.582943357,3.722803357,3.558173357,3.534563357,3.558173357,3.151665343,3.686547843,3.790015043,2.835161043
FUT3,3.649491912,3.612831912,3.611318579,3.644538579,3.564351912,3.760621912,3.644421912,3.591725245,3.666838579,3.698068579,3.673761912,3.747165245,3.667255245,5.214984921,4.678171121,2.800928421,3.446987621
VPREB3,5.77353625,5.37219625,5.41209625,5.23009625,5.54314625,5.54314625,5.78805625,5.37219625,5.65069625,5.67533625,5.52592625,5.38881625,5.52559625,5.55703945,5.7270035,5.54212595,5.52968275
PRTG,2.255907661,2.366747661,2.335400994,2.288187661,2.159090994,2.219737661,2.377577661,2.194397661,2.399407661,2.262394328,2.268080994,2.203117661,2.161250994,2.135776972,2.175773472,2.161691872,2.607302172
RIMKLB,5.720177673,5.54938434,5.87393434,5.583347673,5.426561006,5.43758434,5.37787434,5.84632434,5.767931006,6.247727673,5.51405434,5.491961006,5.462201006,5.70173191,5.50873836,5.53294211,5.86407316
TRIM66,3.511327729,3.384962729,3.629082729,3.286272729,3.384337729,3.345152729,3.548482729,3.366122729,3.406682729,3.205872729,3.222462729,3.149897729,3.288432729,4.135823671,4.011297521,3.145200221,3.389858121
RHPN1,5.54768727,5.54811727,5.60117727,5.37458227,5.43807727,5.54351227,5.46505227,5.34237227,5.38442727,5.39410727,5.36156227,5.44631727,5.31765727,5.25820003,5.37023673,5.42604533,5.28817773
MOV10L1,3.090757131,2.941193798,2.961578798,3.110675465,2.931423798,3.393545465,3.533627131,2.954122131,3.042530465,3.123650465,3.775723798,3.662305465,3.497493798,3.041912569,2.620938169,3.618750219,3.665098969
TMEM45A,8.540887635,8.166517635,8.950157635,8.166927635,8.075587635,8.388207635,8.298047635,8.312287635,8.710107635,8.053887635,8.442127635,8.348627635,8.288027635,8.538934965,9.153395365,7.486891365,7.542434965
TFR2,7.563457515,7.317827515,7.308757515,7.213327515,7.091597515,7.064217515,7.419127515,7.221497515,7.092077515,7.198317515,7.271227515,6.822467515,7.198317515,7.446806485,7.147656485,7.382723485,6.533404985
KLK5,6.653038004,6.695008004,6.499508004,6.312758004,6.258608004,6.397368004,6.664268004,6.074898004,6.342798004,6.383898004,6.444248004,6.640258004,6.609668004,7.622780996,9.003766996,6.469367996,5.050033396
PWWP2A,4.849818668,4.799688668,5.057532001,4.717362001,4.768405334,4.550102001,4.530118668,4.555662001,4.593762001,4.554722001,4.653318668,4.537248668,4.670555334,4.584029732,5.306707932,4.180616732,4.637948132
KERA,4.166489184,4.001319184,3.958049184,3.796229184,3.891459184,3.614829184,3.859179184,3.740029184,4.182329184,3.777639184,3.570649184,3.564729184,3.788559184,3.292681116,2.847662816,3.762957816,4.032974816
TMEM174,4.200770683,4.436370683,4.455740683,4.227680683,3.926680683,4.345950683,4.371720683,4.455830683,4.083570683,4.419790683,4.293540683,4.345950683,4.335800683,4.097329317,4.051243817,4.708511817,4.176330317
SFT2D2,8.146367627,8.678307627,8.516707627,8.428787627,8.350557627,8.385897627,8.473297627,7.796627627,7.861467627,8.125127627,8.499727627,8.374337627,8.458397627,8.297676373,8.679277373,8.271250373,8.483126373
TBC1D7,7.085628707,7.879528707,7.306198707,7.822278707,7.667138707,7.887148707,7.807738707,7.780858707,7.967798707,6.713138707,7.825388707,7.884678707,7.776358707,7.834987293,7.598899693,7.560646293,7.483440293
RS1,2.196713147,2.158433147,2.268443147,2.272803147,2.427313147,2.466253147,2.221323147,2.221323147,2.302693147,2.257443147,2.359153147,2.367943147,2.272803147,1.849861553,2.031028053,2.931602653,2.778740553
CMTM5,4.297203454,4.479811454,4.340857454,4.397167454,4.275323454,4.499999454,4.480441454,4.227631454,4.286475454,4.416301454,4.553761454,4.348823454,4.490469454,2.912622346,2.310574546,4.526072546,5.086245146
CCL8,2.911384018,6.022639018,2.733239018,2.357129018,2.238669018,2.414404018,2.164829018,3.186844018,2.619304018,6.625319018,2.319519018,2.376414018,2.353764018,2.216324782,4.311163982,2.385603382,4.893017282
SSTR1,5.965915343,4.383350343,4.570955343,6.132880343,6.104785343,2.387175343,2.541985343,4.941415343,4.806930343,4.513460343,2.660285343,2.605165343,2.348860343,4.768980657,3.556327957,5.607025657,5.160157357
PANX2,5.740463052,5.926438052,5.785468052,5.695018052,5.750555552,5.932285552,5.809908052,5.709910552,5.854210552,5.908173052,5.930645552,5.936363052,5.975498052,5.225338248,5.798214598,5.374355748,5.977686798
C1QTNF4,4.210694375,4.156774375,4.256874375,4.138694375,3.860804375,4.285584375,4.220334375,4.178144375,4.287244375,3.961924375,4.296304375,4.485264375,4.233384375,4.037743625,4.186277825,5.171031925,4.023464225
RAB3IP,4.409704196,4.704084196,4.629669196,4.342939196,4.335099196,4.330124196,4.429884196,4.383484196,4.407416696,4.313186696,4.367024196,4.569046696,4.389666696,6.078612704,5.182161304,5.080734304,4.692556704
