,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
IRF7,-0.466347294,7.326006667,-1.191985428,0.244277267,0.460436873,-5.82204314,unchanged
PPP2R1B,-0.466296405,5.374938996,-3.12016443,0.004460753,0.051098101,-2.347933968,unchanged
RAB3IP,-0.466006295,4.421456038,-1.920897199,0.066028591,0.218571793,-4.77482306,unchanged
OR10A2,0.465940549,4.12929511,3.674789715,0.001114259,0.021923425,-1.043609379,unchanged
KIF23,-0.465711531,6.50579832,-1.70854045,0.099721469,0.274002258,-5.120875467,unchanged
HINT1,-0.465588038,10.52651189,-3.450952179,0.001963754,0.031307801,-1.579027831,unchanged
KLK6,-0.465438073,5.410348871,-1.918056691,0.066404034,0.219323292,-4.779653375,unchanged
PRDM1,0.465406115,4.944215563,2.841292014,0.008729349,0.075478985,-2.969800071,unchanged
CAPN8,-0.4649374,2.987501982,-2.417296857,0.02312671,0.125733405,-3.855535247,unchanged
KCNS2,0.464848263,2.523741335,2.523789935,0.018215794,0.111720287,-3.64078468,unchanged
KCNA1,0.464667438,3.362506119,2.008292172,0.055349429,0.198519058,-4.623654303,unchanged
GCNT1,-0.464515884,4.664713334,-1.911712385,0.067249324,0.220957879,-4.790422798,unchanged
PSMA3,-0.464087429,9.595988031,-4.067034625,0.000406379,0.010878747,-0.084116241,unchanged
FMNL3,0.463926739,5.066666358,3.008980854,0.005844471,0.060862397,-2.599104339,unchanged
JAM3,0.46379861,7.403372349,2.367264936,0.025831661,0.13341994,-3.954462158,unchanged
SLC2A14,0.463532819,5.614886234,2.27466559,0.03161451,0.149445812,-4.134079483,unchanged
KIF22,-0.463309362,6.333276614,-3.050533605,0.005285093,0.05694011,-2.505710483,unchanged
KIF18A,-0.463190545,3.704053917,-1.376531743,0.180662671,0.387861842,-5.595974473,unchanged
RTN3,-0.463017725,10.0710648,-7.450683729,7.54E-08,2.42E-05,8.178545126,unchanged
GPR124,0.462812703,9.51271193,3.172047341,0.003928272,0.04833312,-2.229378233,unchanged
KLHL5,-0.462787758,7.583114643,-2.231643872,0.034682518,0.15615587,-4.215940124,unchanged
NR2F2,0.462607557,6.024793532,1.700424346,0.101256692,0.276663751,-5.133476368,unchanged
FOXI2,-0.462447971,9.778813325,-2.319788358,0.028663458,0.141753656,-4.047128004,unchanged
KDELC1,0.462183191,6.645733621,3.15809605,0.004065123,0.049237974,-2.261338883,unchanged
TRMT6,-0.462050007,5.443604464,-3.845643061,0.000719559,0.016380187,-0.628505174,unchanged
CDC42EP2,0.462019582,5.572635134,2.74704016,0.010897559,0.084487526,-3.173457574,unchanged
ANPEP,0.461809668,8.899348621,1.601038492,0.12172511,0.308954302,-5.283883245,unchanged
PABPC5,0.461780554,3.203140733,5.851447221,3.94E-06,0.000485252,4.374734332,unchanged
FUT4,0.461776974,4.537828466,2.48751607,0.019768342,0.116277445,-3.714557858,unchanged
PAK6,-0.461717704,5.333431643,-1.731465945,0.09549086,0.2667911,-5.085026665,unchanged
PPBP,-0.461715964,3.353255967,-1.942149044,0.063277993,0.213493464,-4.738516639,unchanged
CCDC152,-0.460796989,3.909626079,-1.955811534,0.061563119,0.209972866,-4.715020714,unchanged
TRIL,0.460779608,4.88697683,2.06945745,0.048811796,0.185756352,-4.514982971,unchanged
PRSS53,0.460763027,5.965006456,3.584226701,0.001402708,0.025137507,-1.261495545,unchanged
DNM1,0.460583691,8.360716524,2.468598909,0.020625744,0.119243591,-3.752777908,unchanged
MCCC2,-0.460454964,7.31554761,-3.393196344,0.002269835,0.034104484,-1.715368636,unchanged
FGF9,0.46012628,2.88956304,2.393212905,0.02439454,0.129482082,-3.903316736,unchanged
SASS6,0.459856126,3.239778049,3.34564937,0.002556099,0.036742675,-1.826990982,unchanged
TAGLN,0.459822592,12.03232247,1.966344279,0.06026904,0.207985896,-4.696824862,unchanged
C1orf201,-0.459558439,4.829513942,-3.733761457,0.000958547,0.019869327,-0.900896415,unchanged
FRAS1,0.459535384,3.984428256,2.181315042,0.038611788,0.165587228,-4.310381059,unchanged
GKAP1,-0.459518332,3.871188333,-3.60380368,0.001334747,0.024618796,-1.214532621,unchanged
TCTEX1D1,0.459463462,2.743939739,2.412181837,0.023390796,0.126412515,-3.865707982,unchanged
ARSB,0.45937691,7.204407338,1.572453923,0.128211468,0.318845651,-5.325783804,unchanged
H2AFX,-0.459368774,6.700865731,-2.372106195,0.025557778,0.132821834,-3.944946199,unchanged
CPVL,0.459340715,4.712536852,2.056113268,0.050176517,0.188426529,-4.538888779,unchanged
HSD17B2,-0.459080165,4.105164152,-1.675266022,0.106142835,0.283937847,-5.172234285,unchanged
TRIP10,0.459041308,7.268822346,5.081317305,2.89E-05,0.001761802,2.455053473,unchanged
HOXB4,0.458847083,6.075890023,4.368204903,0.000185722,0.006464782,0.664948664,unchanged
MYADM,0.45883014,9.38685345,3.830330391,0.000748428,0.016782273,-0.665904892,unchanged
TUBB2B,0.458694357,3.835345862,1.679657185,0.105275991,0.28274506,-5.165502502,unchanged
ZNF585A,0.458607072,4.948175593,4.053128638,0.000421282,0.011156424,-0.118492231,unchanged
HOXA7,0.458255607,5.438990156,1.445045852,0.160661321,0.362180373,-5.504925321,unchanged
HOMER1,-0.458013245,3.889646175,-4.694288123,7.93E-05,0.003637241,1.482424134,unchanged
ZBTB16,-0.457900129,5.522164567,-1.999284378,0.05637493,0.200733414,-4.639460949,unchanged
PIGO,-0.457326479,6.906055302,-4.868973428,5.02E-05,0.002650004,1.921477709,unchanged
KCNK5,-0.457226615,6.060257171,-2.430593563,0.022452987,0.124335592,-3.82902877,unchanged
EARS2,-0.457082565,5.450890156,-6.181464701,1.70E-06,0.000270543,5.183743503,unchanged
LHX9,0.456943874,3.994525488,3.439325346,0.002021958,0.031751835,-1.606539005,unchanged
C21orf56,0.456584811,6.510101854,4.081477463,0.000391453,0.01069224,-0.048390183,unchanged
SEMA4B,-0.456424848,6.940745553,-2.144057828,0.041774028,0.172718191,-4.379352885,unchanged
MAGEH1,0.456339307,7.531555001,2.708733923,0.011916184,0.088574169,-3.255193429,unchanged
GLYCTK,-0.456320582,4.983517646,-3.174040675,0.003909084,0.048215729,-2.22480696,unchanged
SLC25A5,-0.456195437,9.851682474,-2.921344456,0.007214975,0.068212212,-2.794114644,unchanged
SFMBT1,-0.456124706,5.951298087,-5.492040982,9.93E-06,0.000889439,3.483202473,unchanged
NR4A3,-0.456087604,3.655839356,-1.459980626,0.156545612,0.357220605,-5.484581283,unchanged
TNFSF15,-0.455472745,3.094609085,-1.821847707,0.080266776,0.243903381,-4.940084994,unchanged
ATXN1,0.455449174,5.6581306,3.218136343,0.003506974,0.045658634,-2.123381461,unchanged
USP44,-0.455333233,2.95942781,-3.296429907,0.002889155,0.040064317,-1.941922432,unchanged
MASP1,0.455288311,5.203122151,2.587229687,0.015769425,0.10329113,-3.510263229,unchanged
VSIG4,0.454752718,4.798975602,1.886788901,0.070661472,0.226831696,-4.832472952,unchanged
SCARA3,0.454575453,7.353049257,2.638552785,0.01401807,0.096426908,-3.403317918,unchanged
ERP27,-0.454521981,4.148941487,-1.824383183,0.079871645,0.243202822,-4.935937219,unchanged
NRG3,-0.454222612,3.547217627,-2.647982068,0.013716759,0.095617156,-3.383541327,unchanged
OGN,0.453765577,6.740919547,0.834324419,0.41187101,0.621169413,-6.175701288,unchanged
CD248,0.453688656,9.70674365,2.295401508,0.030225649,0.145486782,-4.094258779,unchanged
CELSR1,-0.453011863,7.276520185,-3.332251872,0.002642882,0.037624152,-1.858338572,unchanged
CENPH,-0.452481135,5.010233833,-2.099412854,0.045867838,0.18000084,-4.460923162,unchanged
C2orf63,0.452410051,6.013832638,3.989257172,0.000496966,0.012599453,-0.276092333,unchanged
MFGE8,-0.452316255,9.62011532,-1.865399528,0.073708767,0.232128546,-4.868230787,unchanged
SERHL2,-0.45229375,4.979231392,-2.382280571,0.02499084,0.131000226,-3.924907739,unchanged
KDELR2,0.45228171,10.75682562,2.340541507,0.027392434,0.138243851,-4.006768415,unchanged
NCKAP1L,0.452027929,4.833427779,2.336938193,0.027609357,0.138958947,-4.013792401,unchanged
MLLT3,-0.451422449,4.21737596,-2.330644372,0.027992019,0.140026428,-4.026044469,unchanged
TGFBR2,0.451403209,8.200194735,2.793183183,0.009779357,0.079927851,-3.074196711,unchanged
TALDO1,-0.451188456,7.452115537,-4.246340616,0.000255111,0.008177375,0.360914576,unchanged
CNTNAP1,0.451184164,8.153499267,3.010479784,0.005823344,0.060685161,-2.595745514,unchanged
IFITM2,0.451074992,12.01996761,1.9705439,0.059759764,0.206920571,-4.689549917,unchanged
ELMO3,-0.450628886,5.310345292,-2.123448294,0.043621358,0.176893379,-4.417155785,unchanged
PRDM2,0.45054687,5.15560629,3.232819118,0.003382152,0.044668906,-2.089483272,unchanged
CCDC136,0.450479045,4.965460803,5.383062375,1.32E-05,0.001075058,3.211165182,unchanged
NDST2,-0.450183076,6.336394577,-3.599221652,0.001350359,0.02472646,-1.225531359,unchanged
SEPW1,0.450094229,8.966092279,3.044723292,0.005360112,0.057437543,-2.518804586,unchanged
SNX7,0.450000497,8.360114983,3.091984386,0.004778325,0.053365955,-2.411975293,unchanged
STOX1,-0.449954654,3.591261825,-2.235677852,0.034383792,0.155094412,-4.208308248,unchanged
FAM110B,0.449940421,5.244778671,2.309295397,0.029326374,0.143400342,-4.067446374,unchanged
EFNA3,-0.449683042,6.305114899,-1.898519002,0.069037245,0.22376911,-4.812733528,unchanged
SYT13,-0.449548795,3.209418451,-2.047861298,0.051037313,0.190208922,-4.55361722,unchanged
SLC6A6,0.44915167,6.302063015,3.790622213,0.000828699,0.018088158,-0.762716653,unchanged
SVEP1,-0.449063131,5.304344502,-1.915311378,0.066768664,0.220035804,-4.784316776,unchanged
STAP2,-0.44905116,6.838090846,-2.312427586,0.029127043,0.143013383,-4.061387466,unchanged
